id,sha,date,committer,message
MDY6Q29tbWl0MjM3MzUwMDA1OjU3N2RiMTQ4MmVmNmJiYjc2YjVmOTBkMTM5NWI4YTY1ZDg1OGU5Nzk=,577db1482ef6bbb76b5f90d1395b8a65d858e979,2020-02-24T04:00:46Z,Kenny Nguyen,Set up Blog Templates
MDY6Q29tbWl0MjM3MzUwMDA1OjkxNWQ3ZjU4MjhiZDg3ODI1MTBiZWQyOTc0NWI5YzYxNzM1OGYzMTU=,915d7f5828bd8782510bed29745b9c617358f315,2020-02-23T04:44:24Z,GitHub,Update README.md
MDY6Q29tbWl0MjM3MzUwMDA1OjZiNTgzOTliNmE4NWIyOGMwNDAzNGQ1NjYyZGZmNWFiZmRhYTYwNDI=,6b58399b6a85b28c04034d5662dff5abfdaa6042,2020-02-23T04:34:52Z,Kenny Nguyen,"Need to Fill Content, Stock Pages done"
MDY6Q29tbWl0MjM3MzUwMDA1OjZmZTkxZmM2ZmE4OTkzOGM3YzRlNTg1OTQ4NzdmZDFmNGMxNmNlYzg=,6fe91fc6fa89938c7c4e58594877fd1f4c16cec8,2020-02-14T07:11:25Z,Kenny Nguyen,"Finish Homepage, just need to add content"
MDY6Q29tbWl0MjM3MzUwMDA1Ojc0OGI0Y2ZiOGNiM2IxMjhmYmQ2ZTM1OGY5YjBhZTE1NjhmOWVhMmI=,748b4cfb8cb3b128fbd6e358f9b0ae1568f9ea2b,2020-02-14T04:10:33Z,Kenny Nguyen,Cleaned up stock code and fixed landing page
MDY6Q29tbWl0MjM3MzUwMDA1OmJiZDAxNDhjMzExN2ZmYWUzYzVjYzY1ZWI4MTcxYzc3MzU2YmVkMzc=,bbd0148c3117ffae3c5cc65eb8171c77356bed37,2020-02-02T12:07:47Z,Kenny Nguyen,landingpage styling to homepage
MDY6Q29tbWl0MjM3MzUwMDA1OmQxYTRhYjA3NWNjNWNlN2Q5ZTk1NzkzMzEwNGIyZDViMDJmOTM1ZWQ=,d1a4ab075cc5ce7d9e957933104b2d5b02f935ed,2020-02-02T11:23:52Z,Kenny Nguyen,"Made Homepage, need to add Sections"
MDY6Q29tbWl0MjM3MzUwMDA1OmY3NjNiMzM5NzkyNDRjNzU1YTFhYjgzNmI1MDZmYWJjMzhjNDVjY2E=,f763b33979244c755a1ab836b506fabc38c45cca,2020-01-31T10:34:32Z,Kenny Nguyen,back to normal
MDY6Q29tbWl0MjM3MzUwMDA1OmQxOWRlYWY2MDhjNDEyZmZhYjkyZTJlN2EyNmY0YWQyZTIwNjVlZjE=,d19deaf608c412ffab92e2e7a26f4ad2e2065ef1,2020-01-31T03:08:58Z,Kenny Nguyen,lol
MDY6Q29tbWl0MjM3MzUwMDA1OmU5MGM1M2QxNjM5MDFmYmYxYjFlYzEwZmRhOWYyYWQ1MGE3MmZhZGQ=,e90c53d163901fbf1b1ec10fda9f2ad50a72fadd,2020-01-31T03:07:14Z,Kenny Nguyen,First Files
MDY6Q29tbWl0MjM3MzUwMDA1OjY3YWZiZGIwMDUyYjZhNmVkNTZhNzUzYTllZTQwOTdjZTQ5N2M0NWM=,67afbdb0052b6a6ed56a753a9ee4097ce497c45c,2020-01-31T03:01:07Z,GitHub,Initial commit
